,loss
0,2.0637107699206383
1,1.4942437888433535
2,1.5276318788528442
3,1.4801097989082337
4,1.4978320605533069
5,1.5096702763012477
6,1.4522491942178335
7,1.4601161205209792
8,1.4492988539859653
9,1.4024228542899164
10,1.4660082033702306
11,1.4502133453657868
12,
13,1.4610453986682774
14,1.4632536474480686
15,1.4063069126499232
16,1.4273237683733955
17,1.4761861289200717
18,1.4523084655269034
19,
20,1.4531076058565853
21,1.438475191903611
22,1.4722174576350622
23,1.4420678427753348
24,1.4230049129660802
25,1.3746230578890033
26,1.4400881434169908
27,1.3936915754598413
28,1.4176150461037953
29,1.4081908599022896
30,1.4321748704339068
31,1.4513331840677959
32,1.4564886291821797
33,1.4426149586215615
34,1.496107642606991
35,1.4180787881215413
36,1.4413208462975242
37,1.468525921801726
38,1.4462932967764186
39,1.4511715149879456
40,1.4581120096403977
41,1.461330122469614
42,1.4998277060010217
43,
44,1.4237440627116662
45,1.4207454783680997
46,1.4200726449489594
47,1.424289455016454
48,1.3570951824854935
49,1.3564758855146128
