,loss
0,
1,
2,
3,3.9408310055732727
4,
5,2.062789133683903
6,1.4619606642619423
7,1.436890638018229
8,
9,
10,1.4023634095986683
11,1.4778995235435297
12,
13,
14,1.4478366245706398
15,
16,1.4580144305698206
17,1.4399542866792894
18,
19,
20,
21,1.4458790662922436
22,1.5142084121704102
23,
24,
25,
26,1.4275215354518613
27,1.449226156169293
28,1.4131154565207928
29,1.454714957849089
30,1.43523930031133
31,
32,
33,1.36669176419576
34,
35,
36,1.4085927968283734
37,1.388941297531128
38,
39,
40,
41,1.3667166592939846
42,1.4278954008975662
43,
44,
45,
46,
47,
48,
49,
